model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.043863773345947266,0.000369796238373965,1.0,0.01586608588695526,0.16740575432777405,115.40821433067322,0.8083984375,0.043863773345947266
RegretNetSystem,5,1,1,test,0.041656676679849625,7.389030361082405e-05,1.0,0.006005437113344669,0.16799375414848328,0.04562187194824219,0.644560546875,0.041656676679849625
RegretNetSystem,5,2,1,train,0.02246672846376896,0.00083312758943066,1.0,0.01010254304856062,0.08552750945091248,112.99690270423889,0.8084375,0.02246672846376896
RegretNetSystem,5,2,1,test,0.019567936658859253,0.00011608750355662778,1.0,0.004292111378163099,0.08283094316720963,0.03612875938415527,0.644677734375,0.019567936658859253
RegretNetSystem,5,3,1,train,0.016761895269155502,0.0009889407083392143,1.0,0.008124913088977337,0.06510526686906815,110.77555918693542,0.8085546875,0.016761895269155502
RegretNetSystem,5,3,1,test,0.014488696120679379,9.933817636920139e-05,1.0,0.004192392807453871,0.06366798281669617,0.04265570640563965,0.644716796875,0.014488696120679379
RegretNetSystem,5,4,1,train,0.016648994758725166,7.905704114818946e-05,1.0,0.0051327976398169994,0.08269799500703812,106.28909111022949,0.808623046875,0.016648994758725166
RegretNetSystem,5,4,1,test,0.016706883907318115,0.0001335912966169417,1.0,0.005185815040022135,0.0832568109035492,0.03227710723876953,0.64484375,0.016706883907318115
RegretNetSystem,9,1,1,train,0.06840305030345917,0.0,1.0,0.011428499594330788,0.5358858108520508,117.50676131248474,1.25025390625,0.06840305030345917
RegretNetSystem,9,1,1,test,0.06454288214445114,0.0017035134369507432,1.0,0.011482905596494675,0.4922163486480713,0.036661624908447266,1.073193359375,0.06454288214445114
RegretNetSystem,9,2,1,train,0.03907085955142975,0.0,1.0,0.008055027574300766,0.2954082787036896,111.25766158103943,1.250322265625,0.03907085955142975
RegretNetSystem,9,2,1,test,0.037265196442604065,0.00018848455511033535,1.0,0.007044466678053141,0.2794898748397827,0.035576820373535156,1.073349609375,0.037265196442604065
RegretNetSystem,9,3,1,train,0.0273439884185791,0.0,1.0,0.005371746141463518,0.21142610907554626,121.59365582466125,1.250400390625,0.0273439884185791
RegretNetSystem,9,3,1,test,0.026406584307551384,9.715557247602646e-09,1.0,0.0051797241903841496,0.1976104974746704,0.0383756160736084,1.073427734375,0.026406584307551384
RegretNetSystem,9,4,1,train,0.021046437323093414,0.0,1.0,0.004124422091990709,0.1597263216972351,110.95065689086914,1.2505078125,0.021046437323093414
RegretNetSystem,9,4,1,test,0.020445074886083603,0.0,1.0,0.004003608133643866,0.15176592767238617,0.03872489929199219,1.073515625,0.020445074886083603
RegretNetSystem,10,1,1,train,0.06792157888412476,3.403425452574993e-08,1.0,0.012623145245015621,0.504832923412323,114.45863056182861,1.372490234375,0.06792157888412476
RegretNetSystem,10,1,1,test,0.0650196447968483,0.001219682046212256,1.0,0.01113237626850605,0.48625466227531433,0.03967571258544922,1.20869140625,0.0650196447968483
RegretNetSystem,10,2,1,train,0.038407694548368454,0.0,1.0,0.0070595890283584595,0.2869161367416382,120.08069062232971,1.372529296875,0.038407694548368454
RegretNetSystem,10,2,1,test,0.037767861038446426,0.0007013532449491322,1.0,0.006746194325387478,0.27998608350753784,0.03973269462585449,1.20873046875,0.037767861038446426
RegretNetSystem,10,3,1,train,0.027212589979171753,0.0,1.0,0.004812580067664385,0.20556549727916718,118.85149431228638,1.372685546875,0.027212589979171753
RegretNetSystem,10,3,1,test,0.026415685191750526,1.0609626954760643e-08,1.0,0.0043631186708807945,0.20096167922019958,0.05031943321228027,1.20876953125,0.026415685191750526
RegretNetSystem,10,4,1,train,0.021541651338338852,0.0,1.0,0.003690185258165002,0.16389450430870056,119.67666816711426,1.37271484375,0.021541651338338852
RegretNetSystem,10,4,1,test,0.020550208166241646,0.0,1.0,0.0036753343883901834,0.1548849493265152,0.06371402740478516,1.208896484375,0.020550208166241646
